Entity A;Entity B;;
1723;C0085215;;
6786;C0265965;;
3918;C0036341;;
4053;C1869114;;
3785;C0152426;;
6655;C4048328;;
51501;C4721893;;
79867;C4084841;;
2147;C0028754;;
6948;C0543859;;
3569;C1708349;;
3856;C0345904;;
7169;C0038454;;
5122;C0028754;;
7841;C4317224;;
19;C0005684;;
5792;C1708349;;
6774;C0009402;;
2898;C0751083;;
4524;C3489630;;
3791;C0751276;;
23093;C0028754;;
2153;C1861172;;
1605;C0001815;;
59;C0279702;;
84876;C0029456;;
7048;C0009405;;
84340;C0004352;;
57502;C0376358;;
9076;C0006142;;
1385;C0009324;;
6647;C0010346;;
6223;C1708349;;
57167;C0006142;;
4893;C1846545;;
84876;C0038454;;
2688;C3489630;;
7040;C0276496;;
4864;C0268247;;
6232;C1850597;;
5728;C0376358;;
5444;C0339535;;
4072;C1140680;;
10747;C0009402;;
1495;C1868569;;
4214;C1961102;;
3575;C3495488;;
7036;C0271979;;
596;C0003873;;
139411;C1510586;;
2778;C0376358;;
1956;C0206686;;
1738;C0023264;;
1545;C4310809;;
55081;C0002736;;
9719;C1842937;;
5468;C0887850;;
1910;C0085548;;
3043;C0028754;;
4128;C0003873;;
8516;C1708349;;
6389;C4748768;;
4092;C0009402;;
6231;C1708349;;
55967;C1850600;;
7274;C1449842;;
286053;C4310647;;
359948;C0149925;;
2571;C0019025;;
55764;C0265535;;
1776;C0162672;;
2321;C0279702;;
7037;C0005283;;
3557;C0004352;;
147138;C0345905;;
6756;C2239176;;
1890;C0009402;;
2034;C0279702;;
3764;C0023264;;
547;C0332890;;
547;C0004352;;
7431;C0345967;;
3852;C0009402;;
2260;C1852406;;
27086;C0279628;;
25788;C2239176;;
4436;C0276496;;
8803;C0006142;;
51053;C0342573;;
5336;C0008924;;
6399;C4551479;;
60468;C3463824;;
79848;C3714506;;
57082;C4722327;;
3284;C0010417;;
2212;C1868675;;
9342;C0036341;;
10128;C4225164;;
90678;C3179349;;
1794;C0345904;;
3912;C0476089;;
5339;C0038454;;
6598;C4552100;;
5727;C3179349;;
5290;C0699791;;
84818;C0376358;;
355;C0003873;;
84667;C1837549;;
4056;C3279662;;
80144;C4551480;;
55172;C0752123;;
4893;C1836635;;
50615;C0024141;;
84464;C3469542;;
10747;C0009324;;
9786;C0036069;;
2187;C3463824;;
5190;C0023467;;
540;C0376358;;
9693;C0028754;;
59;C1876165;;
3675;C3554367;;
9719;C3541456;;
9698;C0020072;;
3162;C0036391;;
125336;C2746083;;
2720;C0013366;;
6775;C2239176;;
3559;C0345967;;
1589;C1859995;;
6440;C4721952;;
150094;C3463992;;
4094;C1857768;;
24;C0035334;;
6772;C0006845;;
7518;C0009405;;
55151;C4552097;;
3777;C0752124;;
2052;C2931891;;
3098;C0011860;;
7291;C0265535;;
762;C0035334;;
2896;C4551902;;
2778;C2931122;;
3675;C0079301;;
5589;C1848640;;
915;C2700553;;
5495;C1848030;;
6261;C0410207;;
103;C0796126;;
83605;C0009402;;
894;C4282400;;
5444;C0745103;;
1021;C0751291;;
659;C0005684;;
374291;C4041558;;
3458;C0265251;;
1910;C0006142;;
3159;C0024141;;
5358;C3806712;;
11216;C1850597;;
6440;C0152013;;
169792;C0011854;;
55780;C0276496;;
2778;C1848639;;
5173;C0035334;;
3265;C0152013;;
5295;C4014934;;
282809;C0279626;;
11200;C0079770;;
1605;C1140680;;
5328;C0268448;;
57502;C0001973;;
1621;C1708349;;
23236;C3463824;;
4481;C0376358;;
5195;C3554004;;
6016;C0030421;;
8028;C0025286;;
2348;C0001973;;
