Nr;Entity A;Entity B;Label
0;1723;C0085215;0
1;6786;C0265965;0
2;3918;C0036341;0
3;4053;C1869114;1
4;3785;C0152426;0
5;6655;C4048328;0
6;51501;C4721893;0
7;79867;C4084841;1
8;2147;C0028754;1
9;6948;C0543859;0
10;3569;C1708349;1
11;3856;C0345904;1
12;7169;C0038454;0
13;5122;C0028754;1
14;7841;C4317224;1
15;19;C0005684;0
16;5792;C1708349;1
17;6774;C0009402;0
18;2898;C0751083;0
19;4524;C3489630;0
20;3791;C0751276;0
21;23093;C0028754;0
22;2153;C1861172;1
23;1605;C0001815;0
24;59;C0279702;0
25;84876;C0029456;0
26;7048;C0009405;1
27;84340;C0004352;0
28;57502;C0376358;0
29;9076;C0006142;1
30;1385;C0009324;0
31;6647;C0010346;0
32;6223;C1708349;1
33;57167;C0006142;0
34;4893;C1846545;1
35;84876;C0038454;0
36;2688;C3489630;1
37;7040;C0276496;0
38;4864;C0268247;1
39;6232;C1850597;0
40;5728;C0376358;0
41;5444;C0339535;0
42;4072;C1140680;1
43;10747;C0009402;0
44;1495;C1868569;1
45;4214;C1961102;0
46;3575;C3495488;0
47;7036;C0271979;1
48;596;C0003873;0
49;139411;C1510586;1
50;2778;C0376358;0
51;1956;C0206686;1
52;1738;C0023264;1
53;1545;C4310809;1
54;55081;C0002736;0
55;9719;C1842937;0
56;5468;C0887850;1
57;1910;C0085548;0
58;3043;C0028754;0
59;4128;C0003873;0
60;8516;C1708349;1
61;6389;C4748768;0
62;4092;C0009402;1
63;6231;C1708349;1
64;55967;C1850600;1
65;7274;C1449842;0
66;286053;C4310647;1
67;359948;C0149925;0
68;2571;C0019025;0
69;55764;C0265535;1
70;1776;C0162672;0
71;2321;C0279702;1
72;7037;C0005283;1
73;3557;C0004352;1
74;147138;C0345905;0
75;6756;C2239176;1
76;1890;C0009402;1
77;2034;C0279702;1
78;3764;C0023264;0
79;547;C0332890;0
80;547;C0004352;1
81;7431;C0345967;1
82;3852;C0009402;0
83;2260;C1852406;1
84;27086;C0279628;1
85;25788;C2239176;0
86;4436;C0276496;0
87;8803;C0006142;0
88;51053;C0342573;1
89;5336;C0008924;0
90;6399;C4551479;1
91;60468;C3463824;0
92;79848;C3714506;1
93;57082;C4722327;1
94;3284;C0010417;1
95;2212;C1868675;0
96;9342;C0036341;1
97;10128;C4225164;0
98;90678;C3179349;0
99;1794;C0345904;0
100;3912;C0476089;0
101;5339;C0038454;0
102;6598;C4552100;0
103;5727;C3179349;1
104;5290;C0699791;1
105;84818;C0376358;1
106;355;C0003873;0
107;84667;C1837549;1
108;4056;C3279662;1
109;80144;C4551480;1
110;55172;C0752123;0
111;4893;C1836635;0
112;50615;C0024141;1
113;84464;C3469542;1
114;10747;C0009324;1
115;9786;C0036069;1
116;2187;C3463824;1
117;5190;C0023467;0
118;540;C0376358;1
119;9693;C0028754;0
120;59;C1876165;1
121;3675;C3554367;1
122;9719;C3541456;1
123;9698;C0020072;0
124;3162;C0036391;0
125;125336;C2746083;1
126;2720;C0013366;1
127;6775;C2239176;1
128;3559;C0345967;1
129;1589;C1859995;1
130;6440;C4721952;1
131;150094;C3463992;1
132;4094;C1857768;1
133;24;C0035334;1
134;6772;C0006845;1
135;7518;C0009405;1
136;55151;C4552097;0
137;3777;C0752124;0
138;2052;C2931891;0
139;3098;C0011860;1
140;7291;C0265535;1
141;762;C0035334;1
142;2896;C4551902;0
143;2778;C2931122;0
144;3675;C0079301;1
145;5589;C1848640;0
146;915;C2700553;1
147;5495;C1848030;1
148;6261;C0410207;1
149;103;C0796126;1
150;83605;C0009402;0
151;894;C4282400;1
152;5444;C0745103;1
153;1021;C0751291;1
154;659;C0005684;0
155;374291;C4041558;0
156;3458;C0265251;0
157;1910;C0006142;1
158;3159;C0024141;0
159;5358;C3806712;1
160;11216;C1850597;0
161;6440;C0152013;1
162;169792;C0011854;1
163;55780;C0276496;0
164;2778;C1848639;0
165;5173;C0035334;0
166;3265;C0152013;1
167;5295;C4014934;1
168;282809;C0279626;0
169;11200;C0079770;1
170;1605;C1140680;0
171;5328;C0268448;0
172;57502;C0001973;1
173;1621;C1708349;0
174;23236;C3463824;1
175;4481;C0376358;1
176;5195;C3554004;1
177;6016;C0030421;0
178;8028;C0025286;1
179;2348;C0001973;1
180;6678;C0026764;1
181;6237;C0587248;1
182;5189;C3550693;1
183;5728;C4551484;1
184;7097;C1834558;0
185;3655;C0003873;1
186;6514;C0341703;1
187;1028;C2239176;0
188;55159;C0019202;0
189;4990;C0546264;0
190;54903;C3554367;0
191;1723;C0271979;1
192;8924;C0009405;0
193;3560;C0009402;0
194;93;C4551902;0
195;3265;C0175704;1
196;63924;C1720861;1
197;7169;C1837174;0
198;6311;C0752122;1
199;7291;C0376358;0
200;30813;C1449842;0
201;23025;C0543859;1
202;6095;C1708349;1
203;23152;C0008924;0
204;5159;C2239176;0
205;4255;C1142166;0
206;10280;C3809374;0
207;6774;C0235833;1
208;3000;C0035334;1
209;351;C0751157;1
210;861;C3495587;0
211;58;C0023264;0
212;2052;C0024305;1
213;10058;C0036341;0
214;6094;C1282971;0
215;5744;C0007131;1
216;102;C3714534;1
217;56916;C0376358;1
218;1105;C0376358;1
219;338;C1848533;1
220;429;C1275808;1
221;3350;C3553418;1
222;55280;C0376358;0
223;55120;C0015625;1
224;6786;C0087031;1
225;58;C4551851;0
226;8028;C0023467;1
227;23314;C0011854;0
228;596;C0345967;1
229;7707;C4310644;1
230;55779;C1846142;0
231;6469;C1968843;1
232;1788;C0023467;1
233;4846;C2751306;0
234;26503;C0342853;1
235;23461;C0009402;1
236;2892;C0023264;0
237;2175;C0036341;0
238;4704;C1850600;1
239;3973;C2931779;0
240;83636;C0796126;0
241;1639;C1840391;0
242;2130;C0002736;1
243;875;C4707243;1
244;4552;C2239176;0
245;2147;C0030044;0
246;84197;C0476089;0
247;5604;C1336708;0
248;7051;C3151304;0
249;4359;C0751036;1
250;9895;C0270724;1
251;84823;C1846784;0
252;113278;C0015708;1
253;1649;C0011854;1
254;54790;C3463824;1
255;6654;C0334634;0
256;915;C4551720;0
257;55315;C0011854;1
258;84340;C0795888;0
259;5728;C0149925;1
260;54658;C0019829;1
261;3952;C2931673;0
262;3630;C0028754;1
263;6506;C1708349;1
264;6329;C1868619;1
265;57096;C0025149;0
266;84464;C0015625;1
267;60468;C0010346;1
268;5594;C0027708;0
269;383;C1708349;0
270;4810;C1849193;0
271;7170;C4551952;1
272;5290;C2239176;0
273;4629;C0175702;0
274;1063;C0376358;1
275;7248;C1846389;1
276;2263;C0345905;1
277;64135;C3489724;1
278;5972;C4520892;0
279;345193;C1961102;0
280;9289;C4721541;0
281;6678;C0205713;0
282;8314;C1837091;0
283;6261;C0546264;1
284;8943;C3179349;0
285;51733;C0009405;0
286;2175;C0018203;0
287;10205;C1858278;0
288;3490;C1708349;1
289;54880;C0022797;0
290;25861;C2677516;0
