;Entity A;Entity B;Label
1019;1723;C0085215;0
6396;6786;C0265965;0
3394;3918;C0036341;0
3101;4053;C1869114;1
3268;3785;C0152426;0
6259;6655;C4048328;0
4395;51501;C4721893;0
7589;79867;C4084841;1
1791;2147;C0028754;1
6511;6948;C0543859;0
2747;3569;C1708349;1
2982;3856;C0345904;1
6779;7169;C0038454;0
3841;5122;C0028754;1
5589;7841;C4317224;1
1211;19;C0005684;0
4338;5792;C1708349;1
6379;6774;C0009402;0
2548;2898;C0751083;0
3782;4524;C3489630;0
3278;3791;C0751276;0
1802;23093;C0028754;0
1804;2153;C1861172;1
942;1605;C0001815;0
5534;59;C0279702;0
7636;84876;C0029456;0
5170;7048;C0009405;1
7571;84340;C0004352;0
5348;57502;C0376358;0
5890;9076;C0006142;1
689;1385;C0009324;0
6236;6647;C0010346;0
4543;6223;C1708349;1
5252;57167;C0006142;0
3719;4893;C1846545;1
7640;84876;C0038454;0
2174;2688;C3489630;1
6597;7040;C0276496;0
3689;4864;C0268247;1
5780;6232;C1850597;0
5308;5728;C0376358;0
4775;5444;C0339535;0
3112;4072;C1140680;1
301;10747;C0009402;0
1178;1495;C1868569;1
3598;4214;C1961102;0
3088;3575;C3495488;0
5121;7036;C0271979;1
5642;596;C0003873;0
7921;139411;C1510586;1
2443;2778;C0376358;0
1557;1956;C0206686;1
1366;1738;C0023264;1
1238;1545;C4310809;1
4932;55081;C0002736;0
8074;9719;C1842937;0
4141;5468;C0887850;1
1242;1910;C0085548;0
2660;3043;C0028754;0
3541;4128;C0003873;0
5762;8516;C1708349;1
5903;6389;C4748768;0
3135;4092;C0009402;1
4553;6231;C1708349;1
7215;55967;C1850600;1
6833;7274;C1449842;0
8079;286053;C4310647;1
3124;359948;C0149925;0
2113;2571;C0019025;0
7185;55764;C0265535;1
1058;1776;C0162672;0
2006;2321;C0279702;1
5123;7037;C0005283;1
2703;3557;C0004352;1
778;147138;C0345905;0
4914;6756;C2239176;1
1495;1890;C0009402;1
1617;2034;C0279702;1
3245;3764;C0023264;0
4836;547;C0332890;0
412;547;C0004352;1
5476;7431;C0345967;1
3338;3852;C0009402;0
1922;2260;C1852406;1
6737;27086;C0279628;1
2121;25788;C2239176;0
3745;4436;C0276496;0
7772;8803;C0006142;0
6848;51053;C0342573;1
4658;5336;C0008924;0
4679;6399;C4551479;1
5703;60468;C3463824;0
7583;79848;C3714506;1
7252;57082;C4722327;1
2545;3284;C0010417;1
1662;2212;C1868675;0
5946;9342;C0036341;1
68;10128;C4225164;0
7874;90678;C3179349;0
1090;1794;C0345904;0
3381;3912;C0476089;0
4662;5339;C0038454;0
6197;6598;C4552100;0
4278;5727;C3179349;1
3972;5290;C0699791;1
7751;84818;C0376358;1
3017;355;C0003873;0
7747;84667;C1837549;1
3108;4056;C3279662;1
7613;80144;C4551480;1
4961;55172;C0752123;0
4153;4893;C1836635;0
6821;50615;C0024141;1
7734;84464;C3469542;1
6339;10747;C0009324;1
6053;9786;C0036069;1
1849;2187;C3463824;1
4485;5190;C0023467;0
400;540;C0376358;1
8061;9693;C0028754;0
41;59;C1876165;1
2833;3675;C3554367;1
6030;9719;C3541456;1
8062;9698;C0020072;0
2765;3162;C0036391;0
7885;125336;C2746083;1
2203;2720;C0013366;1
4948;6775;C2239176;1
2713;3559;C0345967;1
1274;1589;C1859995;1
4688;6440;C4721952;1
7965;150094;C3463992;1
3142;4094;C1857768;1
15;24;C0035334;1
4921;6772;C0006845;1
5554;7518;C0009405;1
4947;55151;C4552097;0
3256;3777;C0752124;0
1364;2052;C2931891;0
2431;3098;C0011860;1
5398;7291;C0265535;1
643;762;C0035334;1
2545;2896;C4551902;0
2438;2778;C2931122;0
2832;3675;C0079301;1
5106;5589;C1848640;0
780;915;C2700553;1
4148;5495;C1848030;1
4567;6261;C0410207;1
76;103;C0796126;1
7514;83605;C0009402;0
777;894;C4282400;1
4124;5444;C0745103;1
839;1021;C0751291;1
6165;659;C0005684;0
3217;374291;C4041558;0
2942;3458;C0265251;0
1520;1910;C0006142;1
2747;3159;C0024141;0
4062;5358;C3806712;1
382;11216;C1850597;0
4685;6440;C0152013;1
7995;169792;C0011854;1
5074;55780;C0276496;0
2451;2778;C1848639;0
4455;5173;C0035334;0
2529;3265;C0152013;1
3987;5295;C4014934;1
2495;282809;C0279626;0
6402;11200;C0079770;1
941;1605;C1140680;0
4642;5328;C0268448;0
7302;57502;C0001973;1
953;1621;C1708349;0
6517;23236;C3463824;1
3341;4481;C0376358;1
3914;5195;C3554004;1
5682;6016;C0030421;0
5615;8028;C0025286;1
2026;2348;C0001973;1
4886;6678;C0026764;1
4558;6237;C0587248;1
3896;5189;C3550693;1
4300;5728;C4551484;1
6649;7097;C1834558;0
2815;3655;C0003873;1
4733;6514;C0341703;1
145;1028;C2239176;0
4949;55159;C0019202;0
4194;4990;C0546264;0
4899;54903;C3554367;0
1357;1723;C0271979;1
7825;8924;C0009405;0
3062;3560;C0009402;0
7956;93;C4551902;0
2530;3265;C0175704;1
7418;63924;C1720861;1
6775;7169;C1837174;0
4597;6311;C0752122;1
6861;7291;C0376358;0
2698;30813;C1449842;0
6469;23025;C0543859;1
4508;6095;C1708349;1
1817;23152;C0008924;0
4421;5159;C2239176;0
3620;4255;C1142166;0
149;10280;C3809374;0
4931;6774;C0235833;1
2380;3000;C0035334;1
294;351;C0751157;1
7704;861;C3495587;0
5430;58;C0023264;0
1628;2052;C0024305;1
51;10058;C0036341;0
5728;6094;C1282971;0
4308;5744;C0007131;1
74;102;C3714534;1
7239;56916;C0376358;1
892;1105;C0376358;1
275;338;C1848533;1
353;429;C1275808;1
2578;3350;C3553418;1
4976;55280;C0376358;0
7084;55120;C0015625;1
4950;6786;C0087031;1
5424;58;C4551851;0
5614;8028;C0023467;1
1860;23314;C0011854;0
492;596;C0345967;1
5580;7707;C4310644;1
5072;55779;C1846142;0
4694;6469;C1968843;1
1421;1788;C0023467;1
4069;4846;C2751306;0
6703;26503;C0342853;1
6567;23461;C0009402;1
2527;2892;C0023264;0
1605;2175;C0036341;0
3523;4704;C1850600;1
3434;3973;C2931779;0
7516;83636;C0796126;0
974;1639;C1840391;0
1760;2130;C0002736;1
763;875;C4707243;1
3826;4552;C2239176;0
1569;2147;C0030044;0
7558;84197;C0476089;0
5145;5604;C1336708;0
6629;7051;C3151304;0
3320;4359;C0751036;1
6082;9895;C0270724;1
7632;84823;C1846784;0
7840;113278;C0015708;1
1329;1649;C0011854;1
7019;54790;C3463824;1
6246;6654;C0334634;0
7902;915;C4551720;0
7127;55315;C0011854;1
7573;84340;C0795888;0
4285;5728;C0149925;1
7002;54658;C0019829;1
3406;3952;C2931673;0
2796;3630;C0028754;1
4718;6506;C1708349;1
4629;6329;C1868619;1
5244;57096;C0025149;0
7729;84464;C0015625;1
7385;60468;C0010346;1
5118;5594;C0027708;0
3303;383;C1708349;0
4054;4810;C1849193;0
5342;7170;C4551952;1
4569;5290;C2239176;0
3898;4629;C0175702;0
879;1063;C0376358;1
5366;7248;C1846389;1
1943;2263;C0345905;1
7434;64135;C3489724;1
5654;5972;C4520892;0
2917;345193;C1961102;0
7950;9289;C4721541;0
6282;6678;C0205713;0
7481;8314;C1837091;0
4568;6261;C0546264;1
7854;8943;C3179349;0
4457;51733;C0009405;0
1608;2175;C0018203;0
91;10205;C1858278;0
2676;3490;C1708349;1
4883;54880;C0022797;0
2128;25861;C2677516;0
5723;8314;C0279702;1
5386;5770;C4722327;0
1842;2184;C0268623;1
5086;7015;C0345904;1
2531;3265;C0334082;1
3013;3918;C0007131;1
2077;2558;C1510586;1
3727;4361;C0376358;0
6202;10273;C0752124;1
999;169792;C0587248;0
2950;3479;C0029459;0
7929;144568;C1843181;1
2233;2743;C1835614;1
5215;7098;C0036341;1
3858;5155;C4551624;1
534;126;C0546264;0
1913;23418;C1840451;0
227;308;C0023467;1
3259;3778;C0282160;0
2208;2720;C0432272;1
7533;83990;C0027819;0
1620;2038;C0013902;1
5521;7490;C0029463;1
3926;5241;C1849699;1
1498;2100;C0010346;0
2317;2892;C1862939;1
6019;9711;C0752120;1
3587;4763;C0031511;1
3777;4524;C0587248;0
4898;6712;C0752121;1
3853;5149;C1864900;1
6483;23092;C3463824;1
5245;7124;C1708349;1
106;10253;C3837958;0
86;118;C0085580;1
2053;2516;C0342482;1
6698;26278;C0751779;1
3446;3991;C3494162;0
689;816;C0036341;1
4660;5339;C4721508;0
3547;4137;C0011848;0
4623;5313;C1136043;0
3673;4853;C1956125;1
6040;650;C2751544;0
2104;2562;C0393591;0
1888;23385;C2931891;0
6985;54487;C0220704;1
2340;2903;C0036341;1
2999;348980;C0009405;0
1854;2322;C1961102;0
5388;7280;C0022336;1
7552;84100;C0376358;0
5734;8379;C0036341;1
7497;78989;C0796032;1
2062;2539;C0018203;1
4617;5309;C0752124;0
7968;9325;C0085215;0
3399;4548;C0036341;1
7409;8204;C0024306;0
4863;6655;C1275081;1
1343;203286;C2239176;0
2258;2670;C0265221;0
930;1144;C0751884;1
4849;54790;C0023467;0
3822;5087;C4539968;1
7280;57231;C0752122;1
1113;1399;C0012236;1
7756;8754;C0025286;0
5979;9469;C4551479;1
2522;3265;C0005684;1
5895;9091;C4552072;1
6719;27022;C0344559;1
7731;867;C3810359;0
8058;9672;C1704417;0
6454;22926;C0022336;1
3343;3854;C0035334;0
1664;2064;C0345905;1
6409;6812;C0238198;0
7802;8878;C0023467;0
6729;7153;C0752120;0
1720;2263;C0238198;0
4281;5728;C0009402;1
243;324;C0699791;1
5486;7450;C0001973;1
4735;5428;C0005684;0
3696;4869;C0024305;1
4224;50484;C3810350;0
1551;1956;C0029463;1
1251;1565;C0006142;1
3843;5139;C0038454;1
332;10939;C3151147;0
7745;8737;C0009324;0
6876;51135;C0024141;1
4210;5604;C0587248;1
4933;6774;C0376358;1
6936;51738;C0152426;1
7805;8890;C3501844;0
56;10083;C0265219;0
2543;2896;C1619700;0
5157;5605;C0087031;0
4174;4929;C0042487;0
2368;2936;C1868675;1
3218;374291;C0025237;0
3067;3566;C2239176;0
265;10683;C0006142;0
3705;4323;C1708349;0
4565;5274;C0345904;0
7718;84295;C0265338;1
3382;4524;C1866558;1
3724;4359;C1644196;0
2015;2332;C0036341;1
2471;3149;C3806742;1
5196;5649;C0027819;0
2826;3667;C1168401;1
7490;8314;C4310804;0
1873;23345;C0001973;0
7428;8216;C0476089;0
6454;6888;C0036341;0
596;1297;C0345905;0
4978;6833;C3837958;1
4185;4968;C0009402;0
7494;65266;C2678492;1
